Category,Mountain,Alt,User Rating,Ascents,URL,Latitude,Longitude
Munros,Sgùrr na Ruaidhe,993.0,2.67,4996,https://www.walkhighlands.co.uk/munros/sgurr-na-ruaidhe,57.4416715,-4.8525152
Munros,Sgùrr Alasdair,992.0,4.48,5864,https://www.walkhighlands.co.uk/munros/sgurr-alasdair,57.20655,-6.2242676
Munros,Càrn nan Gobhar (Strathfarrar),992.0,3.0,4932,https://www.walkhighlands.co.uk/munros/carn-nan-gobhar-strathfarrar,57.4525364,-4.8800484
Munros,Càrn nan Gobhar (Loch Mullardoch),992.0,2.84,4247,https://www.walkhighlands.co.uk/munros/carn-nan-gobhar-loch-mullardoch,57.3633406,-5.0244477
Munros,Sgàirneach Mhòr,991.0,2.98,11553,https://www.walkhighlands.co.uk/munros/sgairneach-mhor,56.8284966,-4.2979242
Munros,Sgùrr Bàn,989.0,3.2,3943,https://www.walkhighlands.co.uk/munros/sgurr-ban,57.7186399,-5.2661049
Munros,Beinn Eunaich,989.0,3.17,10153,https://www.walkhighlands.co.uk/munros/beinn-eunaich,56.4504278,-5.0267355
Munros,Gulvain,987.0,3.69,4436,https://www.walkhighlands.co.uk/munros/gulvain,56.9363073,-5.284488
Munros,Druim Shionnach,987.0,3.42,8976,https://www.walkhighlands.co.uk/munros/druim-shionnach,57.1268757,-5.1828264
Munros,Creag Leacach,987.0,3.38,16273,https://www.walkhighlands.co.uk/munros/creag-leacach,56.8546762,-3.3879285
Munros,Conival,987.0,3.76,7647,https://www.walkhighlands.co.uk/munros/conival,58.135451,-4.8831687
Munros,Sgùrr Mòr (Beinn Alligin),986.0,4.53,9414,https://www.walkhighlands.co.uk/munros/sgurr-mor-beinn-alligin,57.5912536,-5.5729287
Munros,Lurg Mhòr,986.0,3.87,3112,https://www.walkhighlands.co.uk/munros/lurg-mhor,57.4132,-5.2236345
Munros,Inaccessible Pinnacle,986.0,4.6,5979,https://www.walkhighlands.co.uk/munros/inaccessible-pinnacle,57.2137457,-6.2345787
Munros,Ben Vorlich (Loch Earn),985.0,3.38,25162,https://www.walkhighlands.co.uk/munros/ben-vorlich-loch-earn,56.3427688,-4.2195371
Munros,Mullach na Dheiragain,982.0,3.15,3364,https://www.walkhighlands.co.uk/munros/mullach-na-dheiragain,57.2836808,-5.1861202
Munros,An Gearanach,982.0,4.11,10465,https://www.walkhighlands.co.uk/munros/an-gearanach,56.7592269,-4.9663371
Munros,Stob Coire a' Chàirn,981.0,3.37,10515,https://www.walkhighlands.co.uk/munros/stob-coire-a-chairn,56.7508989,-4.9694514
Munros,Slioch,981.0,4.4,6734,https://www.walkhighlands.co.uk/munros/slioch,57.6673344,-5.3471257
Munros,Maol chinn-dearg,981.0,3.32,8944,https://www.walkhighlands.co.uk/munros/maol-chinn-dearg,57.127453,-5.2526513
Munros,Creag Mhòr (Meall na Aighean),981.0,2.93,14166,https://www.walkhighlands.co.uk/munros/creag-mhor-meall-na-aighean,56.6206699,-4.1287385
Munros,Beinn a' Chochuill,980.0,3.26,10281,https://www.walkhighlands.co.uk/munros/beinn-a-chochuill,56.4498446,-5.0687209
Munros,Stob Coire Sgriodain,979.0,3.41,7472,https://www.walkhighlands.co.uk/munros/stob-coire-sgriodain,56.8318348,-4.6949836
Munros,Ciste Dhubh,979.0,3.99,5680,https://www.walkhighlands.co.uk/munros/ciste-dhubh,57.199376,-5.2091651
Munros,Cona' Mheall,978.0,3.81,5837,https://www.walkhighlands.co.uk/munros/cona-mheall,57.7912093,-4.9034336
Munros,Beinn Dubhchraig,978.0,3.26,11286,https://www.walkhighlands.co.uk/munros/beinn-dubhchraig,56.3913617,-4.7432222
Munros,Stob Bàn (Grey Corries),977.0,3.99,6271,https://www.walkhighlands.co.uk/munros/stob-ban-grey-corries,56.8107593,-4.8410368
Munros,Meall nan Ceapraichean,977.0,3.12,6036,https://www.walkhighlands.co.uk/munros/meall-nan-ceapraichean,57.7986568,-4.9340316
Munros,Stùc a' Chròin,975.0,3.83,18786,https://www.walkhighlands.co.uk/munros/stuc-a-chroin,56.3293569,-4.2377057
Munros,Càrn Liath (Beinn a' Ghlò),975.0,3.34,13992,https://www.walkhighlands.co.uk/munros/carn-liath-beinn-a-ghlo,56.8076387,-3.7441969
Munros,Càrn a' Ghèoidh,975.0,2.86,18442,https://www.walkhighlands.co.uk/munros/carn-a-gheoidh,56.8731135,-3.4666936
Munros,A' Mharconaich,975.0,2.98,13806,https://www.walkhighlands.co.uk/munros/a-mharconaich,56.8569974,-4.2906827
Munros,Ben Lomond,974.0,3.81,32679,https://www.walkhighlands.co.uk/munros/ben-lomond,56.1903252,-4.6332483
Munros,Beinn Sgritheall,974.0,4.24,5085,https://www.walkhighlands.co.uk/munros/beinn-sgritheall,57.1537454,-5.5796212
Munros,Sgùrr a' Ghreadaidh,973.0,4.46,4951,https://www.walkhighlands.co.uk/munros/sgurr-a-ghreadaidh,57.227584,-6.2344061
Munros,Meall Garbh (Càrn Mairg),968.0,2.59,14612,https://www.walkhighlands.co.uk/munros/meall-garbh-carn-mairg,56.6375674,-4.2076188
Munros,Sgòrr nam Fiannaidh (Aonach Eagach),967.0,4.4,10550,https://www.walkhighlands.co.uk/munros/sgorr-nam-fiannaidh-aonach-eagach,56.6794678,-5.0373506
Munros,A' Mhaighdean,967.0,4.49,3944,https://www.walkhighlands.co.uk/munros/a-mhaighdean,57.7197006,-5.3468916
Munros,Ben More (Mull),966.0,4.09,9055,https://www.walkhighlands.co.uk/munros/ben-more-mull,56.4250022,-6.014162
Munros,Sgùrr na Banachdich,965.0,4.01,6639,https://www.walkhighlands.co.uk/munros/sgurr-na-banachdich,57.2210007,-6.2416779
Munros,Sgùrr nan Gillean,964.0,4.62,5688,https://www.walkhighlands.co.uk/munros/sgurr-nan-gillean,57.2486284,-6.1929542
Munros,Sgùrr Thuilm,963.0,3.78,5093,https://www.walkhighlands.co.uk/munros/sgurr-thuilm,56.9370616,-5.3893149
Munros,Càrn a' Chlamain,963.0,3.25,8099,https://www.walkhighlands.co.uk/munros/carn-a-chlamain,56.8610155,-3.7796335
Munros,Sgòrr Ruadh,962.0,4.07,5219,https://www.walkhighlands.co.uk/munros/sgorr-ruadh,57.4986669,-5.4079179
Munros,Ben Klibreck,962.0,3.35,6878,https://www.walkhighlands.co.uk/munros/ben-klibreck,58.2352997,-4.4112048
Munros,Stùcd an Lochain,960.0,3.59,11050,https://www.walkhighlands.co.uk/munros/stucd-an-lochain,56.570977,-4.4706771
